match_id,queue_id,game_mode,game_type,patch,riot_id,tag_line,team_id,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,住職さんだよ,84103,100,TOP,Yorick,False,3,3,3,283,30,10,2,12849,27996,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,erisu616,8686,100,JUNGLE,Evelynn,False,12,9,3,190,55,15,6,13247,27330,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,Beer,ORION,100,MIDDLE,Lux,False,11,9,7,174,44,12,7,13563,43232,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,聖霊王アルカディオス,12500,100,BOTTOM,Senna,False,1,7,9,175,16,7,2,11939,18320,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,RN K3NCH1,SKZ,100,UTILITY,Nami,False,1,10,8,31,78,36,7,7819,7188,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,BeAatrox,chill,200,TOP,Aatrox,True,7,3,3,227,36,14,0,12734,20383,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,100日後に死ぬレネクトン,100レネ,200,JUNGLE,Amumu,True,1,3,18,204,27,9,3,12818,15414,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,haraidayo,3928,200,MIDDLE,Orianna,True,14,9,6,227,17,8,1,17132,35809,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,mine,7173,200,BOTTOM,Samira,True,12,7,7,183,26,15,1,15358,22317,1893
JP1_579621170,420,CLASSIC,MATCHED_GAME,16.9,Quartett,4197,200,UTILITY,Brand,True,4,6,11,58,86,28,11,10398,16505,1893
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,YUYUrt610,9901,100,TOP,Garen,True,9,1,1,211,20,8,1,13869,40462,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,K4i,7960,100,JUNGLE,XinZhao,True,5,3,9,181,21,7,1,11659,18120,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,PandaCory,623P,100,MIDDLE,KogMaw,True,6,4,5,226,15,11,1,12047,26575,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,izuHO02,TTV,100,BOTTOM,Jinx,True,2,4,7,201,11,11,1,11456,11968,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,RN K3NCH1,SKZ,100,UTILITY,Nami,True,3,1,10,29,63,27,5,8723,6817,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,revontulet 77,7192,200,TOP,DrMundo,False,1,7,1,172,5,2,0,7783,18721,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,おいす師匠,前科39犯,200,JUNGLE,Yone,False,5,10,5,173,40,8,9,11942,26270,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,Indoor fish,zzz,200,MIDDLE,Ahri,False,4,1,2,236,24,13,0,10300,14228,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,アミ戸Twitch,amido,200,BOTTOM,Twitch,False,3,3,2,188,6,4,0,9859,15110,1725
JP1_579627931,420,CLASSIC,MATCHED_GAME,16.9,MEDI,RAYU,200,UTILITY,Milio,False,0,4,3,26,67,21,11,6047,5828,1725
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,Rein,22159,100,TOP,Mordekaiser,True,5,1,3,237,28,10,0,12553,47659,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,yamato,5418,100,JUNGLE,Ivern,True,5,4,13,174,20,3,2,13354,13217,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,SAVA,2496,100,MIDDLE,Yone,True,20,6,5,267,21,8,2,18901,65671,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,kurippu,4781,100,BOTTOM,Ezreal,True,2,3,10,167,12,6,1,10467,20775,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,5599,0909,100,UTILITY,Bard,True,0,0,10,65,76,24,10,9236,8705,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,Takimoto102,10212,200,TOP,Sion,False,0,7,2,208,15,6,0,9919,22218,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,taroyan,4884,200,JUNGLE,XinZhao,False,10,6,1,166,23,4,5,14359,27653,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,つよくてかわいい戦国乙女,ソウリン,200,MIDDLE,Naafiri,False,2,8,5,150,22,11,0,10281,15190,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,SaWaChan,691,200,BOTTOM,Jinx,False,2,5,6,237,26,14,4,12224,34656,2023
JP1_579635375,400,CLASSIC,MATCHED_GAME,16.9,RN K3NCH1,SKZ,200,UTILITY,Nami,False,0,6,10,31,81,27,4,8269,8602,2023
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,ぷるぷる,6408,100,TOP,Illaoi,False,1,8,0,176,13,5,0,7747,18246,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,SSG08Lapua,JP1,100,JUNGLE,Volibear,False,4,7,2,103,21,6,4,7915,11313,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,kamoganegi,8409,100,MIDDLE,Aurora,False,1,2,2,135,13,8,0,7091,10548,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,TheFluA,1212,100,BOTTOM,Ashe,False,4,2,2,192,33,12,3,9556,16078,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,蟷螂マン,3725,100,UTILITY,Yuumi,False,1,2,5,7,17,8,3,6506,13797,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,AngeIDust,husk,200,TOP,Sett,True,12,1,3,198,21,9,1,15189,34067,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,エクレアの語源は稲妻,花粉症,200,JUNGLE,Chogath,True,3,1,7,175,16,9,0,10549,10309,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,Onago,Inu2,200,MIDDLE,Velkoz,True,2,2,5,131,21,10,1,8167,12828,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,キモ過ぎて滅,11451,200,BOTTOM,Jinx,True,3,3,4,169,5,2,2,10182,6653,1610
JP1_579969592,400,CLASSIC,MATCHED_GAME,16.9,RN K3NCH1,SKZ,200,UTILITY,Seraphine,True,1,4,7,33,53,24,0,7255,4682,1610
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,H0sy,ssssr,100,TOP,Fiora,True,2,3,12,188,32,13,2,13408,19771,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,Rays Daybreak,Bae,100,JUNGLE,LeeSin,True,14,1,10,167,44,18,4,14985,27491,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,Daimon x,8483,100,MIDDLE,Mel,True,13,4,4,227,31,12,4,15208,30488,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,アウトレイジ松本,JP1,100,BOTTOM,Caitlyn,True,5,3,6,271,35,10,8,15226,15097,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,KoTriN,JP1,100,UTILITY,Maokai,True,3,3,17,39,104,30,13,10550,16151,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,w1ha,001,200,TOP,Darius,False,5,7,2,213,31,11,1,12968,20760,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,HoneyLemon,1205,200,JUNGLE,Vi,False,0,8,9,203,39,14,5,11091,13969,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,Aochaa,Choco,200,MIDDLE,Vex,False,4,8,3,243,27,7,7,13210,24369,1991
JP1_579981367,420,CLASSIC,MATCHED_GAME,16.9,ひろくん,3939,200,BOTTOM,Yunara,False,5,6,1,248,26,16,3,14934,16979,1991
