match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_562170066,2026-01-31 23:15:28,420,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,False,0,10,8,18,30,29,42,1.31,68,2.12,27,7,8,7339,3198,1927,32.12,18,19,10,2,0,8,0,10,1,4,0,5,3,5,2,0,2,0,3,0,3
JP1_561590103,2026-01-29 00:36:39,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Braum,True,2,4,9,26,8,31,32,1.57,30,1.47,16,2,2,5994,4590,1223,20.38,15,21,8,5,2,1,4,4,0,4,2,2,5,3,0,0,2,0,0,1,1
JP1_561581260,2026-01-29 00:02:45,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,False,1,10,9,18,35,19,35,1.38,49,1.93,24,5,3,6922,4057,1526,25.43,20,24,10,1,2,7,0,10,1,2,5,2,5,5,0,0,1,0,1,1,1
JP1_561571258,2026-01-28 23:26:47,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Morgana,False,1,3,5,6,24,12,23,1.25,21,1.14,13,0,0,4805,8071,1105,18.42,9,21,6,4,0,2,3,3,0,3,3,0,5,1,0,0,0,0,0,0,1
JP1_561563671,2026-01-28 23:04:33,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,False,0,1,0,0,12,0,33,2.06,13,0.81,10,1,0,3549,2277,962,16.03,1,11,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
JP1_561402837,2026-01-28 00:33:31,420,CLASSIC,MATCHED_GAME,16.2.740.1491,UTILITY,Janna,True,0,11,11,27,37,36,41,0.97,100,2.37,49,4,4,10194,4255,2532,42.2,22,30,14,4,2,8,3,11,2,2,6,4,3,3,8,1,2,2,1,1,3
JP1_561395742,2026-01-27 23:59:21,400,CLASSIC,MATCHED_GAME,16.2.740.1491,UTILITY,Braum,True,0,4,1,21,14,9,40,2.16,32,1.73,20,1,2,4631,2006,1112,18.53,5,16,4,0,0,4,0,4,0,2,2,0,3,1,0,0,0,0,0,0,1
JP1_561382368,2026-01-27 23:08:33,400,CLASSIC,MATCHED_GAME,16.2.740.1491,UTILITY,Janna,False,1,3,5,12,23,15,44,1.24,74,2.09,35,3,3,8186,7774,2122,35.37,9,21,8,5,0,3,5,3,0,3,3,2,2,3,3,0,2,0,0,1,3
JP1_561015237,2026-01-25 23:28:17,400,CLASSIC,MATCHED_GAME,16.2.740.1491,UTILITY,Braum,True,0,8,4,27,35,19,41,0.87,116,2.47,51,9,10,10682,5452,2815,46.92,12,42,10,1,2,7,2,8,0,3,4,3,2,2,6,1,1,2,0,2,2
JP1_561005601,2026-01-25 22:56:22,400,CLASSIC,MATCHED_GAME,16.2.740.1491,UTILITY,Braum,False,1,8,2,14,22,8,29,1.04,39,1.4,22,0,2,6273,3536,1669,27.82,11,24,9,0,2,7,2,7,0,5,3,1,2,6,1,0,2,0,1,0,3
