match_id,queue_id,game_mode,game_type,patch,riot_id,tag_line,team_id,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,Thunderstruck,1939,100,TOP,Renekton,False,0,6,1,81,7,5,0,3902,5694,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,noyaneco,JP1,100,JUNGLE,Amumu,False,1,6,1,86,9,3,0,4908,4379,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,退行戦隊おぎゃれんじゃー,ばぶばぶ,100,MIDDLE,AurelionSol,False,2,5,0,112,2,2,0,5325,5689,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,かつお部長,hugut,100,BOTTOM,Ashe,False,0,3,0,97,11,5,1,3993,2282,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,RN K3NCH1,SKZ,100,UTILITY,Janna,False,1,1,0,24,15,10,0,3830,3101,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,px7878,5642,200,TOP,Varus,True,5,1,1,112,14,6,0,6092,12257,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,Shennong,1123,200,JUNGLE,Gwen,True,3,1,5,101,21,5,1,6056,3806,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,show,9595,200,MIDDLE,Xerath,True,8,0,2,136,9,7,1,8086,12125,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,masaking,6385,200,BOTTOM,Jinx,True,2,1,3,72,17,5,5,4888,5400,914
JP1_562185060,420,CLASSIC,MATCHED_GAME,16.2,kilulu,miran,200,UTILITY,Poppy,True,3,1,3,12,15,7,3,4839,7418,914
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,フシギばな,はなふぶき,100,TOP,Kayle,False,4,15,0,139,46,11,0,8992,20489,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,バキ男,SDGs,100,JUNGLE,Zac,False,0,8,3,108,15,8,0,7370,9954,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,Sh4dowRqm,1472,100,MIDDLE,Xerath,False,1,0,1,119,21,11,1,6946,8670,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,Ernma,3492,100,BOTTOM,Yunara,False,2,3,3,162,11,4,1,10437,7081,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,December30,JP1,100,UTILITY,Morgana,False,3,6,2,61,59,21,9,8492,22123,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,enegori00,9090,200,TOP,Renekton,True,9,5,7,146,1,1,0,11371,24794,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,aotaroo,9983,200,JUNGLE,Mordekaiser,True,10,0,8,176,29,1,3,12643,17415,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,Atsuemon,JP2,200,MIDDLE,Irelia,True,7,0,6,233,32,14,0,12646,21790,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,DestinyDilemma,田所あずさ,200,BOTTOM,Ziggs,True,5,3,9,218,38,16,4,13121,27434,1847
JP1_562191667,400,CLASSIC,MATCHED_GAME,16.2,RN K3NCH1,SKZ,200,UTILITY,Janna,True,1,2,13,38,88,36,10,8215,3879,1847
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,assy0913,0913,100,TOP,Irelia,True,0,0,0,8,1,1,0,919,153,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,marron,5454,100,JUNGLE,Sylas,True,1,1,0,16,0,0,0,1468,184,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,ちはやあのん,FF14,100,MIDDLE,Vex,True,0,1,0,15,1,1,0,1047,999,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,コンゴ,JP1,100,BOTTOM,Caitlyn,True,0,0,0,22,1,1,0,1205,540,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,RN K3NCH1,SKZ,100,UTILITY,Janna,True,0,0,0,9,1,3,0,976,241,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,中卒の歴史,JP1,200,TOP,Sett,False,0,0,0,12,0,0,0,1059,900,201
JP1_562201894,400,CLASSIC,MATCHED_GAME,16.2,andrezanatta3,Br2,200,JUNGLE,Hecarim,False,0,0,0,14,0,0,0,1205,7,201
