match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min
JP1_579194910,2026-04-29 00:31:32,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,0,1,10,24,5,26,26,1.12,44,1.89,20,3,6325,5845,1395,23.25
JP1_579189371,2026-04-29 00:04:20,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,4,0,10,24,5,24,28,1.22,51,2.23,21,4,7349,6457,1375,22.92
JP1_579180923,2026-04-28 23:37:27,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,3,0,5,23,6,30,19,0.89,38,1.77,17,0,6201,5169,1288,21.47
JP1_579172983,2026-04-28 23:09:10,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Milio,False,0,2,10,11,22,17,26,1.1,45,1.91,21,1,6116,3858,1412,23.53
JP1_579027880,2026-04-27 23:59:25,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Seraphine,True,2,4,10,38,18,28,66,2.17,54,1.78,27,1,10147,11249,1821,30.35
JP1_579028071,2026-04-27 23:49:35,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,False,0,0,0,1,0,0,2,0.82,0,0.0,1,0,760,158,146,2.43
JP1_579013195,2026-04-27 22:55:34,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Seraphine,True,0,7,10,22,18,32,60,1.54,82,2.1,39,6,9479,11302,2341,39.02
JP1_578997522,2026-04-27 22:04:13,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,0,2,25,31,13,52,35,1.03,84,2.46,39,4,10275,10782,2048,34.13
JP1_578476145,2026-04-25 02:49:02,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,False,1,9,17,33,46,44,29,0.72,62,1.54,28,6,11077,13494,2420,40.33
JP1_578468053,2026-04-25 02:03:56,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,1,11,34,59,47,103,40,0.97,94,2.28,38,3,11309,15790,2470,41.17
JP1_578464123,2026-04-25 01:37:00,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,0,1,11,25,13,18,20,0.87,62,2.7,21,4,6363,5515,1378,22.97
JP1_578288222,2026-04-24 00:33:59,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,3,8,25,46,17,61,39,1.12,84,2.4,33,6,10926,11144,2096,34.93
JP1_578287219,2026-04-24 00:22:46,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Seraphine,False,0,0,0,0,0,0,0,0.0,1,0.65,1,0,565,110,92,1.53
