match_id,queue_id,game_mode,game_type,patch,riot_id,tag_line,team_id,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,lenchan,5429,100,TOP,Renekton,False,0,4,0,82,10,5,1,3944,3296,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,taroyan,4884,100,JUNGLE,Nocturne,False,2,4,1,77,4,2,0,5259,3504,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,RN K3NCH1,SKZ,100,MIDDLE,Xerath,False,0,6,0,59,22,7,0,3308,1398,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,デブは経済の潤滑油,fat,100,BOTTOM,Tristana,False,2,5,1,86,4,3,0,5539,6231,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,ちょく,4884,100,UTILITY,Alistar,False,0,2,2,21,14,8,1,3710,3235,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,TA2No5,777,200,TOP,Yone,True,7,0,0,120,17,7,3,7191,12835,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,aassoo16,0916,200,JUNGLE,Mordekaiser,True,1,0,2,136,11,3,1,6768,1993,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,ktvv,8803,200,MIDDLE,Talon,True,7,0,1,165,9,6,0,8943,11702,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,肺戦士,ほぼ税金,200,BOTTOM,Caitlyn,True,5,2,1,105,14,7,1,7363,9882,941
JP1_574643792,400,CLASSIC,MATCHED_GAME,16.7,吉良ヒロトの夢女,5723,200,UTILITY,Darius,True,1,2,5,16,20,8,1,4911,6234,941
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,夜瑠 See Tinh,M893,100,TOP,Mordekaiser,True,11,5,9,189,37,16,2,15078,33930,2283
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,vilot,2004,100,JUNGLE,Amumu,True,2,5,22,202,34,13,3,14133,18752,2283
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,sh1laz,9017,100,MIDDLE,Syndra,True,8,4,10,226,25,11,0,14636,25678,2283
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,yuma0303,0303,100,BOTTOM,Caitlyn,True,12,7,12,237,17,7,2,19854,30579,2283
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,えぬしー,314,100,UTILITY,Morgana,True,6,8,24,50,77,36,3,14357,26232,2283
JP1_574646365,400,CLASSIC,MATCHED_GAME,16.7,lenchan,5429,200,TOP,Malphite,False,4,11,5,123,28,12,0,10508,9987,2283
