match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_585311976,2026-05-31 03:01:04,400,CLASSIC,MATCHED_GAME,16.11.781.1789,MIDDLE,Galio,False,2,11,9,23,42,40,129,3.73,43,1.24,20,3,10,9961,12779,2074,34.57,22,30,11,1,0,10,0,11,2,0,3,6,2,5,4,1,3,0,1,0,3
JP1_585305580,2026-05-31 02:13:41,400,CLASSIC,MATCHED_GAME,16.11.781.1789,JUNGLE,Pantheon,False,0,4,1,11,32,17,144,5.98,18,0.75,11,0,3,7163,4118,1444,24.07,5,29,5,0,1,4,1,4,1,1,1,2,2,3,0,1,1,0,1,0,1
JP1_584394437,2026-05-25 23:00:40,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Rakan,True,0,0,9,23,2,16,16,0.83,40,2.07,17,0,4,5208,5994,1158,19.3,9,19,5,5,0,0,5,0,0,2,2,1,1,4,0,0,0,0,0,1,0
JP1_584269709,2026-05-25 01:55:47,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Leona,True,1,8,17,38,24,39,31,1.03,81,2.68,34,6,4,8815,7305,1812,30.2,26,28,12,8,2,2,4,8,0,4,5,3,3,7,2,2,1,1,1,4,1
JP1_584264807,2026-05-25 01:24:22,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Nami,False,2,5,7,13,22,23,25,1.01,59,2.39,23,3,5,6561,6611,1483,24.72,14,15,7,1,2,4,2,5,0,2,3,2,1,6,0,0,2,0,0,0,0
JP1_584246377,2026-05-24 23:49:25,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Morgana,True,2,3,14,35,18,31,55,1.92,60,2.1,26,4,5,9627,19116,1717,28.62,19,34,13,8,3,2,10,3,1,7,3,2,6,6,1,1,2,0,1,2,1
JP1_584062947,2026-05-24 03:13:39,400,CLASSIC,MATCHED_GAME,16.10.776.5552,TOP,Illaoi,False,1,11,1,7,43,9,172,5.68,22,0.73,10,0,1,8807,16240,1816,30.27,13,29,11,0,0,11,0,11,7,3,0,1,3,5,3,0,2,0,1,0,5
JP1_584057876,2026-05-24 02:41:52,400,CLASSIC,MATCHED_GAME,16.10.776.5552,BOTTOM,Ashe,True,2,6,10,25,24,41,128,4.65,24,0.87,11,2,0,8715,11003,1650,27.5,18,23,9,5,1,3,3,6,0,3,2,4,3,4,2,0,0,1,0,3,1
JP1_584009074,2026-05-23 23:19:04,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Janna,False,0,0,0,6,11,0,14,0.86,27,1.66,13,2,0,3610,2632,974,16.23,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_583999160,2026-05-23 22:43:20,400,CLASSIC,MATCHED_GAME,16.10.776.5552,UTILITY,Morgana,True,2,0,6,20,2,16,39,1.64,48,2.02,26,6,5,6390,10599,1427,23.78,8,16,5,5,0,0,5,0,0,3,1,1,2,3,0,2,0,0,0,2,0
