match_id,queue_id,game_mode,game_type,patch,riot_id,tag_line,team_id,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,lenchan,5429,100,TOP,Chogath,False,1,4,1,53,8,4,0,3877,2263,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,gp練習中,目指せ五連,100,JUNGLE,Viego,False,1,5,1,63,19,5,3,4581,6174,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,かふぇいんでとっくす,caff,100,MIDDLE,TwistedFate,False,1,1,0,94,6,4,0,5483,5553,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,all my bad,gomen,100,BOTTOM,Ezreal,False,0,5,0,80,16,7,2,3756,4787,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,RN K3NCH1,SKZ,100,UTILITY,Zyra,False,0,3,0,28,23,12,1,3649,3713,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,miso,7445,200,TOP,Ornn,True,6,0,1,112,5,2,1,6833,8246,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,I am Idola,Idola,200,JUNGLE,Briar,True,1,2,3,113,6,2,0,5960,6160,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,hukamaru,アストラ専,200,MIDDLE,Malzahar,True,0,1,0,105,9,6,1,4570,5639,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,れいり,7421,200,BOTTOM,Jinx,True,9,0,3,145,11,7,1,8886,15479,945
JP1_568318493,400,CLASSIC,MATCHED_GAME,16.4,tarakocchi,3264,200,UTILITY,Thresh,True,2,0,7,19,20,8,1,4878,2175,945
JP1_569422334,400,CLASSIC,MATCHED_GAME,16.5,lenchan,5429,100,TOP,Mordekaiser,True,5,7,8,106,24,12,1,10401,16447,2206
