match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_590607790,2026-06-30 23:38:16,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Morgana,True,0,10,16,34,26,47,46,1.36,74,2.18,36,3,9,9177,21110,2034,33.9,26,36,18,8,2,8,8,10,0,7,7,4,6,6,6,3,1,2,0,4,1
JP1_590492429,2026-06-30 01:16:28,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,1,6,21,36,23,48,35,0.91,116,3.01,52,7,17,10760,11535,2310,38.5,28,33,17,11,1,5,11,6,0,9,4,4,6,6,5,3,1,3,1,2,2
JP1_590484680,2026-06-30 00:34:32,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,1,5,16,24,25,42,44,1.18,112,3.0,40,10,12,10438,9847,2237,37.28,22,28,13,8,2,3,8,5,0,6,4,3,2,5,6,1,2,0,0,2,1
JP1_589739996,2026-06-26 00:50:56,420,CLASSIC,MATCHED_GAME,16.13.790.6961,UTILITY,Nami,False,0,2,3,10,26,9,22,0.94,29,1.24,18,0,5,5334,5859,1406,23.43,5,25,4,2,0,2,2,2,0,3,1,0,1,3,0,0,2,0,0,0,3
JP1_589731144,2026-06-26 00:06:40,400,CLASSIC,MATCHED_GAME,16.13.790.6961,UTILITY,Seraphine,True,1,6,17,34,24,52,29,1.0,65,2.25,34,2,9,8334,10450,1736,28.93,24,28,13,8,2,3,7,6,0,6,4,3,5,6,2,3,0,3,0,4,1
JP1_589555264,2026-06-25 02:07:56,400,CLASSIC,MATCHED_GAME,16.13.789.3741,UTILITY,Zyra,True,4,6,11,32,27,50,38,0.9,135,3.18,62,6,15,11772,16503,2547,42.45,21,34,10,6,1,3,4,6,1,3,3,3,2,2,6,1,0,1,0,3,1
JP1_589550525,2026-06-25 01:33:19,400,CLASSIC,MATCHED_GAME,16.13.789.3741,UTILITY,Morgana,False,7,5,15,30,35,48,57,1.85,68,2.2,36,0,11,11933,24674,1852,30.87,27,34,16,11,1,4,11,5,0,6,6,4,8,6,2,1,1,2,1,2,1
JP1_589542931,2026-06-25 00:47:59,400,CLASSIC,MATCHED_GAME,16.13.789.3741,JUNGLE,Nocturne,True,1,11,12,35,41,55,183,5.12,15,0.42,2,4,0,11442,12754,2145,35.75,24,33,14,6,1,7,3,11,0,5,4,5,4,5,5,1,3,0,1,1,4
JP1_589536132,2026-06-25 00:08:31,400,CLASSIC,MATCHED_GAME,16.13.789.3741,BOTTOM,Caitlyn,False,2,16,4,21,49,25,158,5.19,21,0.69,11,2,1,11169,10747,1828,30.47,22,28,16,1,1,14,0,16,0,6,6,4,8,5,3,0,1,0,2,0,6
JP1_589526185,2026-06-24 23:33:15,400,CLASSIC,MATCHED_GAME,16.13.789.3741,JUNGLE,Nocturne,True,8,3,10,36,19,59,190,6.4,20,0.67,3,5,1,12465,13887,1782,29.7,21,31,11,9,2,0,8,3,0,4,2,5,2,6,3,6,1,1,0,1,0
JP1_589508997,2026-06-24 22:39:11,400,CLASSIC,MATCHED_GAME,16.13.789.3741,UTILITY,Morgana,True,3,3,10,29,15,44,60,1.86,88,2.73,37,6,13,10002,14660,1937,32.28,16,21,9,6,0,3,6,3,0,2,4,3,1,5,3,2,0,2,1,4,0
JP1_589230849,2026-06-23 01:16:06,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Morgana,False,3,2,2,9,15,7,22,1.21,33,1.81,16,0,7,5361,8466,1094,18.23,7,18,6,3,1,2,4,2,0,4,2,0,4,2,0,0,0,0,0,0,1
JP1_589224760,2026-06-23 00:38:08,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Morgana,True,4,8,14,42,39,48,58,1.73,85,2.53,43,3,12,11257,22843,2016,33.6,26,41,13,6,2,5,5,8,0,3,7,3,4,6,3,3,1,1,1,2,2
JP1_589223792,2026-06-23 00:29:33,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Seraphine,False,0,0,0,0,0,0,3,0.89,0,0.0,2,0,2,974,1066,203,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_588543292,2026-06-19 01:54:04,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Seraphine,False,2,11,11,20,38,29,23,0.85,43,1.58,19,2,6,8122,11551,1630,27.17,24,24,15,5,2,8,5,10,0,8,4,3,7,7,1,1,1,1,1,2,4
JP1_588538442,2026-06-19 01:14:50,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Seraphine,False,4,7,9,19,43,25,57,1.66,64,1.87,24,4,7,10006,14894,2056,34.27,20,34,12,4,2,6,5,7,0,4,5,3,1,6,5,1,2,0,1,3,2
JP1_588531273,2026-06-19 00:35:17,400,CLASSIC,MATCHED_GAME,16.12.788.4269,UTILITY,Senna,True,5,5,6,29,22,27,41,1.32,85,2.74,31,5,9,9811,13142,1862,31.03,16,30,13,6,3,4,8,5,0,6,6,1,5,5,3,2,1,0,1,2,0
