match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_573284837,2026-03-28 04:24:43,400,CLASSIC,MATCHED_GAME,16.6.756.9613,UTILITY,Nami,False,0,9,1,5,35,4,25,0.65,77,1.99,36,2,5,7920,7235,2317,38.62,10,19,9,0,0,9,0,9,0,2,4,3,0,5,4,1,1,0,0,0,4
JP1_573281218,2026-03-28 03:38:31,400,CLASSIC,MATCHED_GAME,16.6.756.9613,UTILITY,Seraphine,True,4,6,11,28,18,45,39,1.13,87,2.52,36,4,5,9998,11154,2074,34.57,21,20,11,8,0,3,5,6,1,1,5,4,4,4,3,0,0,1,0,4,2
JP1_573278329,2026-03-28 03:17:50,400,CLASSIC,MATCHED_GAME,16.6.756.9613,UTILITY,Nami,True,0,2,0,13,4,2,22,1.32,33,1.99,13,2,2,3565,1695,997,16.62,2,15,2,0,0,2,0,2,0,2,0,0,1,1,0,0,1,0,0,1,0
JP1_573273484,2026-03-28 02:43:19,400,CLASSIC,MATCHED_GAME,16.6.756.9613,UTILITY,Nami,False,2,6,7,15,24,20,22,0.73,72,2.38,28,6,5,8205,8116,1813,30.22,15,21,12,4,2,6,6,6,1,5,5,1,2,5,5,1,3,0,1,0,1
JP1_573268221,2026-03-28 02:15:18,400,CLASSIC,MATCHED_GAME,16.6.756.9613,UTILITY,Leona,False,0,7,3,11,30,9,27,1.19,42,1.84,19,2,1,4800,4841,1366,22.77,10,23,7,0,0,7,0,7,0,4,1,2,2,5,0,2,0,0,0,0,1
JP1_572855462,2026-03-25 23:18:12,400,CLASSIC,MATCHED_GAME,16.6.756.931,UTILITY,Nami,True,2,4,9,29,11,30,26,0.93,59,2.12,27,10,6,8391,6658,1671,27.85,15,27,11,8,0,3,7,4,0,4,7,0,7,3,1,1,1,1,0,3,1
JP1_572674957,2026-03-25 00:01:49,400,CLASSIC,MATCHED_GAME,16.6.756.931,MIDDLE,Galio,True,1,2,4,27,6,28,216,7.16,27,0.89,12,2,4,10554,15504,1811,30.18,7,25,7,5,0,2,5,2,1,3,2,1,1,2,4,4,0,0,0,3,0
JP1_572665729,2026-03-24 23:25:16,400,CLASSIC,MATCHED_GAME,16.6.756.931,MIDDLE,Galio,False,1,8,4,12,29,16,197,6.21,34,1.07,12,2,5,9471,19007,1903,31.72,13,21,11,2,4,5,3,8,2,3,3,3,3,4,4,1,3,0,2,0,5
JP1_572659558,2026-03-24 23:02:52,400,CLASSIC,MATCHED_GAME,16.6.756.931,MIDDLE,Galio,True,1,1,0,9,5,6,101,6.55,19,1.23,7,0,4,4398,6081,925,15.42,2,12,2,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
JP1_572648821,2026-03-24 22:26:26,400,CLASSIC,MATCHED_GAME,16.6.756.931,MIDDLE,Velkoz,False,4,9,1,15,35,10,149,4.84,37,1.2,13,1,6,9166,18985,1848,30.8,14,34,13,4,1,8,4,9,6,3,2,2,6,5,2,0,4,0,0,0,5
