match_id,queue_id,game_mode,game_type,patch,riot_id,tag_line,team_id,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,モルデカイザー,鋼の魂奪者,100,TOP,Velkoz,False,3,3,1,201,33,13,2,10459,29320,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,L7sand,JP1,100,JUNGLE,Sejuani,False,1,4,4,197,29,5,6,10722,8883,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,longzzz,4869,100,MIDDLE,Sylas,False,4,5,3,136,38,14,1,9977,13244,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,水沢腹堅,8492,100,BOTTOM,Ezreal,False,2,8,1,229,23,10,3,11450,25810,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,Melone,214,100,UTILITY,Seraphine,False,1,7,2,46,85,28,9,7906,7341,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,teddy,GQG4,200,TOP,Chogath,True,4,1,4,208,25,8,3,11366,12754,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,ガッキーVT,GAKIO,200,JUNGLE,Nocturne,True,6,3,5,226,28,4,4,13168,17779,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,ルコちゃんTwitch,TwTV,200,MIDDLE,Akali,True,5,6,3,129,22,9,1,10236,24250,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,古本屋さん,1111,200,BOTTOM,Kaisa,True,12,0,6,260,37,13,5,17087,26419,2019
JP1_590617657,400,CLASSIC,MATCHED_GAME,16.13,RN K3NCH1,SKZ,200,UTILITY,Nami,True,0,1,19,24,99,47,5,9231,8759,2019
JP1_590908218,400,CLASSIC,MATCHED_GAME,16.13,doronuma35,JP1,100,TOP,Chogath,False,1,11,1,145,10,4,0,8435,10855,1892
JP1_590908218,400,CLASSIC,MATCHED_GAME,16.13,からあげ食べたい,441,100,JUNGLE,Shyvana,False,1,6,3,165,17,2,4,10139,9949,1892
JP1_590908218,400,CLASSIC,MATCHED_GAME,16.13,PieRoN292,4325,100,MIDDLE,Yone,False,8,4,0,253,20,9,1,16853,40685,1892
JP1_590908218,400,CLASSIC,MATCHED_GAME,16.13,niy0901,niy,100,BOTTOM,Lucian,False,1,12,1,150,3,2,0,9897,12881,1892
