match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_570949791,Xerath,4,8,8,20,27,12,5,2,5,4,8,2,2,5,3,5,4,0,1,1,2,0,4
JP1_571095396,Seraphine,4,1,0,5,17,5,3,1,1,4,1,3,1,0,3,2,0,0,1,0,0,0,1
JP1_571123224,Nami,1,1,6,8,17,8,6,0,2,7,1,4,3,0,2,6,0,0,0,0,1,3,1
JP1_571124937,Braum,1,7,3,11,36,10,3,0,7,3,7,6,2,2,4,3,3,3,0,1,0,1,0
JP1_571266562,Ahri,2,4,4,10,22,7,3,0,4,3,4,2,1,2,0,5,2,1,1,0,0,1,0
JP1_571276922,Nami,3,6,16,25,35,13,6,2,5,7,6,2,5,6,1,2,10,3,2,0,0,3,3
JP1_571908469,Nami,0,1,11,12,24,6,4,1,1,5,1,0,6,0,1,2,3,0,1,1,1,3,0
JP1_572095520,Renata,2,0,21,23,24,7,7,0,0,7,0,2,3,2,5,2,0,3,0,2,0,1,0
JP1_572099879,Renata,2,4,15,21,25,9,8,1,0,5,4,3,5,1,4,5,0,0,2,1,0,3,0
JP1_572305502,Renata,1,7,2,10,21,6,0,0,6,0,6,1,3,2,1,4,1,1,1,0,2,0,3
JP1_572497339,Nami,4,3,3,10,21,7,4,0,3,4,3,4,2,1,2,5,0,0,0,0,0,1,0
JP1_572504153,Nami,1,11,16,28,45,16,5,2,9,5,11,5,4,6,1,4,11,2,2,0,2,1,3
JP1_572648821,Velkoz,4,9,1,14,34,13,4,1,8,4,9,3,2,2,6,5,2,0,4,0,0,0,5
JP1_572659558,Galio,1,1,0,2,12,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
JP1_572665729,Galio,1,8,4,13,21,11,2,4,5,3,8,3,3,3,3,4,4,1,3,0,2,0,5
JP1_572674957,Galio,1,2,4,7,25,7,5,0,2,5,2,3,2,1,1,2,4,4,0,0,0,3,0
JP1_572855462,Nami,2,4,9,15,27,11,8,0,3,7,4,4,7,0,7,3,1,1,1,1,0,3,1
JP1_573268221,Leona,0,7,3,10,23,7,0,0,7,0,7,4,1,2,2,5,0,2,0,0,0,0,1
JP1_573273484,Nami,2,6,7,15,21,12,4,2,6,6,6,5,5,1,2,5,5,1,3,0,1,0,1
JP1_573278329,Nami,0,2,0,2,15,2,0,0,2,0,2,2,0,0,1,1,0,0,1,0,0,1,0
JP1_573281218,Seraphine,4,6,11,21,20,11,8,0,3,5,6,1,5,4,4,4,3,0,0,1,0,4,2
JP1_573284837,Nami,0,9,1,10,19,9,0,0,9,0,9,2,4,3,0,5,4,1,1,0,0,0,4
JP1_574643792,Xerath,0,6,0,6,18,6,0,0,6,0,6,0,1,0,5,1,0,0,1,0,0,0,2
JP1_574646365,Galio,5,6,2,13,33,9,4,0,5,3,6,4,0,5,2,3,4,1,2,0,0,2,2
JP1_575408426,Nami,3,4,12,19,26,11,5,3,3,7,4,4,3,4,2,2,7,2,1,0,1,2,2
JP1_575415436,Nami,2,5,24,31,41,15,12,2,1,11,4,9,2,4,5,6,4,2,3,1,0,3,0
JP1_575694619,Nami,1,2,9,12,27,11,8,1,2,9,2,9,2,0,7,4,0,2,0,1,0,2,0
JP1_575702176,Nami,0,1,0,1,22,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
